Адриановский переулок, Мещанской части.

Александровская улица, Сущевской части.

Александровский переулок, Сущевской части.

Алексеевская Большая улица, Рогожской части.

Алексеевская Малая улица, Рогожской части.

Алексеевский переулок, Рогожской части.

Андроньевская 1-я улица, Рогожской части.

Андроньевская 2-я улица, Рогожской части.

Антипьевский переулок, Тверской части.

Aптекарский переулок, Басманной части.

Арбат улица, Арбатской части.

Арбатецкая улица, Рогожской части.

Арбатецкий 1-й переулок, Рогожской части.

Арбатецкий 2-й переулок, Рогожской части.

Арбузовский переулок, Серпуховской части.

Армянский переулок, Мясницкой части.

Арсеньевский переулок, Серпуховской части.

Архангельский переулок, Мясницкой части.

Астраханцевский переулок, Мещанской части.

Ащеулов переулок, Сретенской части.

Афанасьевский Большой переулок, Пречистенской части.

Афанасьевский Малый переулок, Пречистенской части.

Б
Бабушкин переулок, Басманной части.

Бабьегорский переулок, Якиманской части.

Балчуг улица, Пятницкой части.

Банковский переулок, Яузской части.

Барабанный переулок, Лефортовской части.

Барашевский переулок, Яузской части.

Басманная Старая улица, Басманной части.

Басманная Новая улица, Басманной части.

Бахметевская улица, Мещанской части.

Бахметевский переулок, Мещанской части.

Бахметевский переулок, Серпуховской части.

Безымянный переулок, Пресненской части.

Бережки улица, Хамовнической части.

Берноков переулок, Яузской части.

Берсеневская набережная, Якиманской части.

Благовещенский переулок, Хамовнической части.

Благовещенский 1-й и Благовещенский 2-й переулки, Хамовнической части.

Благовещенский переулок, Арбатской части.

Богословский переулок, Арбатской части.

Богословский переулок, Тверской части.

Богогоявленский переулок, Городской части.

Боженинова улица, Лефортовской части.

Боженинский переулок, Хамовнической части.

Божедомская улица, Сущевской части.

Божедомский переулок, Сущевской части.

Божедомский переулок, Пречистенской части.

Болвановский Большой переулок, Пятницкой части.

Болвановский Малый переулок, Пятницкой части.

Борисоглебский переулок, Арбатской части.

Брехов переулок, Яузской части.

Бригадирский переулок, Басманной части.

Бродников переулок, Якиманской части.

Бронный Большой переулок, Арбатской части.

Бронный Малый переулок, Арбатской части.

Брюсовский переулок, Тверской части.

В
Ваганьковский переулок, Тверской части.

Вадковский переулок, Сущевской части.

Варварка улица, Городской части.

Варсонофьевский переулок, Мясницкой части.

Васильевский переулок, Пресненской части.

Введенский переулок, Введенская улица, Яузской части.

Введенский переулок, Лефортовской части.

Владимирская улица, Лефортовской части.

Власьевский переулок, Пречистенской части.

Власьевский Малый переулок, Пречистенской части.

Водоотводного канала улица, Пятницкой части.

Водопьяный переулок, Сретенской части.

Воздвиженка улица, Тверской части.

Воздвиженский Большой переулок, Хамовнической части.

Воздвиженский переулок, Хамовнической части.

Вознесенская улица, Басманной части.

Вознесенский переулок, Лефортовской части.

Вознесенский переулок, Серпуховской части.

Воксальный переулок, Рогожской части.

1-й и 2-й Волковский переулки, Сущевской части.

Волхонка улица, Тверской части.

Воробинский переулок, Яузской части.

Воронцовская улица, Рогожской части.

Воронцовская улица, Яузской части.

Воронцовский переулок, Рогожской части.

Воронья улица, Рогожской части.

Воротниковкий переулок, Сущевской части.

Воротниковский переулок, Сретенской части.

Воропухина гора улица, Пресненской части.

Воскресенский переулок, Пятницкой части.

Вражский Большой и Вражский Малый переулки, Хамовнической части.

Всеволжский переулок, Пречистенской части.

Всесвятская улица, Якиманской части.

Всесвятский переулок, Тверской части.

Всесвятский проезд, Тверской части.

Вшивогородская, Вшивоедская улица, Яузской части.

Вшивогородский переулок, Яузской части.

Выползовка, Выползов переулок, тупой, Мещанской части.

Г
Гавриков переулок, Басманной части.

Гагаринский переулок, Пречистенской части.

Газетный переулок, Тверской части.

Гарднеровский переулок, Басманной части.

Гендриков переулок, Рогожской части.

Генеральная улица, Лефортовской части.

Георгиевский переулок, Тверской части.

Георгиевский переулок, Мясницкой части.

Георгиевский переулок, Арбатской части.

Георгиевский переулок, Пресненской части.

Глазовский переулок, Пресненской части.

Глазовский переулок, Пречистенской части.

Глинищевский переулок, Тверской части.

Глухаревский переулок, Мещанской части.

Гнездниковский Большой переулок, Тверской части.

Гнездниковский Малый переулок.

Годеинский переулок, Арбатской части.

Голиковский переулок, Пятницкой части.

Головин переулок, Сретенской части.

Голутвинский Большой переулок, Якиманской части.

Голутвинский 2-й переулок, Якиманской части.

Голутвинский Средний переулок, Якиманской части.

Гончарная улица, Яузской части.

Гончарный Нижний переулок, Яузской части.

Гончарный 1-й переулок, Яузской части.

Гончарный 2-й переулок, Яузской части.

Гончарный 3-й переулок, Яузской части.

Гороховская улица, Басманной части.

Гороховский переулок, Басманной части.

Госпитальная улица, Лефортовской части.

Госпитальный Садовый переулок, Лефортовской части.

Госпитальный переулок, Лефортовской части.

Гранатный переулок, Гранатная улица, Арбатской части.

Грибоедовский переулок, Якиманской части.

Грибоедов переулок, Хамовнической части.

Грохольский переулок, Мещанской части.

Грузинская Большая улица, Пресненской части.

Грузинская Малая улица, Пресненской части.

Грузинский Малый переулок, Пресненской части.

Грузинский переулок, Городской части.

Грузинский переулок, Яузской части.

Грязной переулок, Рогожской части.

Гуськов переулок, Сущевской части.

Гусятников переулок, Серпуховской части.

Гусятников переулок, Яузской части.

Д
Даевский переулок, Сретенской части.

Дашков переулок, Хамовнической части.

Дворянская Большая улица, Серпуховской части.

Дворянская Малая улица, Серпуховской части.

Девятинский Большой переулок, Пресненской части.

Девятинский, Девяткин переулок, Мясницкой части.

Девятая рота улица, Лефортовской части.

Дегтярный переулок, Сретенской части.

Демидовский переулок, Басманной части.

Денежный переулок, Денежная улица, Пречистенской части.

Денежный переулок, Якиманской части.

Денисовский переулок, Басманной части.

Дербенской переулок, Сретенской части.

Деребенская, Дербеновская улица, Серпуховской части.

Дербеновский 1-й, Дербеновский 2-й и Дербеновский 3-й переулки, Серпуховский части.

Дмитровка Большая улица, Тверской части.

Дмитровка Малая улица, Сретенской части.

Добрая слободка переулок, Яузской части.

Добрая слободка переулок, Басманной части.

Докучаев переулок, Мещанской части.

Долгий переулок, Хамовнической части.

Долгоруковская улица, Сущевской части.

Долгоруковский переулок, Тверской части.

Домниковская улица, Мещанской и Басманной части.

Донская улица, Серпуховской части.

Дорогомиловская улица, Хамовнической части.

Драчевская улица, Сретенской части.

Дровяной Большой переулок, Рогожской части.

Дровяной Малый переулок, Рогожской части.

Дурасовский переулок, Яузской части.

Дурновский переулок, Арбатской части.

Дурновский, Дурнинский переулок, Пятницкой части.

Дурнов переулок, Пречистенской части.

Дурной переулок, Рогожской части.

Дурной переулок, Сретенской части.

Девкин переулок, Басманной части.

Е
Екатерининский Большой и Екатерининский Малый переулки, Якиманской части.

Ермолаевский переулок, Арбатской части.

Еропкинский переулок, Пречистенской части.

Ершов переулок, Городской части.

Ж
Жеребцовский переулок, Басманной части.

Живарев переулок, Мещанской части.

Живодерная Новая улица, Пресненской части.

Живодерный Старый переулок, Пресненской части.

Жильцов переулок, Сущевской части.

Житная улица, Якиманской части.

Жуков переулок, Серпуховской части.

З
Зарядьевский переулок, Городской части.

Зацепская улица, Серпуховской части.

Зацепский вал, Пятницкой части.

Зачатиевский 1-й переулок, Пречистенской части.

Зачатиевский 2-й переулок, Пречистенской части.

Зачатиевский 3-й переулок, Пречистенской части.

Заяицкий переулок, Пятницкой части.

Звонарский переулок, Мясницкой части.

Зверев переулок, Пятницкой части.

Земляная Большая улица, Серпуховской части.

Златоустенский Большой переулок, Мясницкой части.

Златоустенский Малый переулок, Мясницкой части.

Знаменка улица, Тверской части.

Знаменский Болышой переулок, Тверской части.

Знаменский Малый переулок, Тверской части.

Знаменский переулок, Пятницкой части.

Знаменский 1-й переулок, Сретенской части.

Знаменский 2-й переулок, Сретенской части.

Знаменский 3-й переулок, Сретенской части.

Знаменский Большой переулок, Знаменский Малый 1-й переулок и Знаменский 2-й переулок, Мещеанской части.

Знаменский Большой переулок, Городской части.

Знаменский Малый переулок, Городской части.

Золоторожская улица, Басманной части.

Золоторожский-Нагорный переулок, Рогожской части.

И
Ивановский Большой переулок, Мясницкой части.

Ивановский Малый переулок, Мясницкой части.

Ивановский переулок, Якиманской части.

Иверский переулок, Пятницкой части.

Известковый переулок, Рогожской части.

Ильинка улица, Городской части.

Ильинский 1-й переулок, Пречистенской части.

Ильинский 2-й переулок, Пречистенской части.

Ильинский переулок, Пресненскон части.

Инструментальный переулок, Лефортовской части.

Ипатьевский переулок, Городской части.

Ирининская Большая улица, Ирининская Малая улица, Лефортовской части.

Ирининский переулок, Лефортовской части.

Истерийский (Австерийский) переулок, Городской части.

К
Кадашевский Большой переулок, Якиманской части.

Кадашевский Средний переулок, Якиманской части.

Кадашевский Малый Переулок, Якиманской части.

Казанский переулок, Якиманской части.

Казарменная улица, Яузской части.

Казенный Большой переулок и Казенный Малый переулок, Яузской части.

Каковинский Большой переулок и Каковинский Малый переулок, Арбатской части.

Каланчевский переулок, Мещанской части.

Каланчевский тупой переулок, Басманной части.

Каланчевский переулок, Басманной части.

Калашный переулок, Тверской части.

Калошин переулок, Пречистенской части.

Калпашный переулок, Мясницкой части.

Калужская улица, Серпуховской части.

Калужский переулок, Серпуховской части.

Каменщики Большие улица, Рогожской части.

Каменщики Малые улица, Рогожской части.

Камергерский переулок, Тверской части.

Каретный ряд улица, Сретенской части.

Карунинская площадь, Городской части.

Кирочный переулок, Лефортовской части.

Кирочный переулок, Басманной части.

Кисельный Большой переулок, Мясницкой части.

Кисельный Нижний переулок, Мясницкой части.

Кисельный Малый переулок, Мясницкой части.

Кисловский Большой переулок, Тверской части.

Кисловский Малый переулок, Тверской части.

Кисловский Средний переулок, Тверской части.

Кисловский Последний переулок, Тверской части.

Кладбищенский переулок, Лефортовской части.

Кладбищенский переулок, Сущевской части.

Климентовский переулок, Пятницкой части.

Княжевской, Князевский, Княжин переулок, Лефортовской части.

Кожевническая улица, Серпуховской части.

Кожевнический вражек, переулок, Серпуховской части.

